,CLUSTERS,K,CVNN
0,2,1,1.0
1,3,1,0.6053980440406668
2,4,1,0.49701217434821326
3,5,1,1.461497416968835
4,6,1,1.6514424123311462
5,7,1,0.7712319737439237
6,8,1,0.9081081904831874
7,9,1,0.941131068341039
8,2,5,1.0
9,3,5,0.6053980440406668
10,4,5,0.49701217434821326
11,5,5,1.3108823175418043
12,6,5,1.2993537507795692
13,7,5,0.6147954861053901
14,8,5,1.0785960339931264
15,9,5,1.3182497124088355
16,2,10,1.0
17,3,10,0.6053980440406668
18,4,10,0.49701217434821326
19,5,10,1.2783886437437826
20,6,10,1.3381933031636695
21,7,10,0.6277364803084542
22,8,10,1.1903746489791538
23,9,10,1.3182497124088355
24,2,20,1.0
25,3,20,0.6053980440406668
26,4,20,0.49701217434821326
27,5,20,1.176021011459691
28,6,20,1.2379294343244096
29,7,20,0.5851046552356978
30,8,20,0.9677532644924186
31,9,20,1.3182497124088355
