,CLUSTERS,K,CVNN
0,2,1,1.0
1,3,1,0.997729740445426
2,4,1,0.7066931960699441
3,5,1,1.3020671069582594
4,6,1,0.6568126559528005
5,7,1,1.902240140507641
6,8,1,1.3323048194623555
7,9,1,1.4301318504018137
8,2,5,1.0
9,3,5,0.997729740445426
10,4,5,0.7066931960699441
11,5,5,1.1852286189857508
12,6,5,0.7952069077491141
13,7,5,1.7536789316016046
14,8,5,1.602701089858626
15,9,5,1.4301318504018137
16,2,10,1.0
17,3,10,0.997729740445426
18,4,10,0.7066931960699441
19,5,10,1.1452801653775033
20,6,10,0.7749398037191235
21,7,10,1.8264499106225833
22,8,10,1.7489714861290222
23,9,10,1.4301318504018137
24,2,20,1.0
25,3,20,0.997729740445426
26,4,20,0.7066931960699441
27,5,20,1.1114694522305164
28,6,20,0.7113703489417826
29,7,20,1.683730838457635
30,8,20,1.7288155252514117
31,9,20,1.4301318504018137
