,X,Y,CLUSTER
ORB,-0.78304,0.2793,1
ORB,-0.7530399999999999,0.021,0
ORB,-0.7581,-0.2394,0
ORB,-0.75312,0.20449,0
ORB,-0.72319,-0.28928000000000004,1
ORB,-0.69825,0.23441,0
ORB,-0.69825,0.2793,0
ORB,-0.69825,0.34913,1
ORB,-0.69825,0.42394,1
ORB,-0.67332,-0.054863,1
ORB,-0.67332,0.49875,0
ORB,-0.66833,-0.2793,0
ORB,-0.66833,0.24938,0
ORB,-0.6633399999999999,0.20948000000000006,0
ORB,-0.65835,-0.60349,0
ORB,-0.65835,-0.16958,0
ORB,-0.65835,0.399,1
ORB,-0.65337,-0.43392,0
ORB,-0.6483800000000001,-0.48878,0
ORB,-0.63342,0.36409,1
ORB,-0.62344,0.31421,0
ORB,-0.61347,0.44888,1
ORB,-0.5935199999999999,0.56858,1
ORB,-0.58853,0.49875,1
ORB,-0.57855,-0.49875,1
ORB,-0.57855,0.39401,1
ORB,-0.5635899999999999,-0.37406,0
ORB,-0.5635899999999999,0.63342,0
ORB,-0.5586,0.46883,0
ORB,-0.55362,0.52369,0
ORB,-0.5486300000000001,-0.58853,1
ORB,-0.5486300000000001,-0.5187,1
ORB,-0.52868,0.5586,0
ORB,-0.52369,0.6483800000000001,0
ORB,-0.50873,-0.66833,0
ORB,-0.50873,-0.6384,1
ORB,-0.50374,0.51372,1
ORB,-0.49377,-0.50873,1
ORB,-0.46883,0.67332,0
ORB,-0.46384,-0.63342,1
ORB,-0.45885,0.5985,1
ORB,-0.42893,0.60848,1
ORB,-0.42394,-0.55362,0
ORB,-0.41397,0.6783,1
ORB,-0.40898,0.7481300000000001,0
ORB,-0.40399,-0.65835,0
ORB,-0.399,0.67332,0
ORB,-0.399,0.77805,1
ORB,-0.36908,-0.72818,1
ORB,-0.36908,-0.5985,1
ORB,-0.36908,0.62344,1
ORB,-0.3591,-0.73815,0
ORB,-0.33416,0.61845,1
ORB,-0.30923,0.79302,1
ORB,-0.29925,-0.62843,0
ORB,-0.28928000000000004,0.6483800000000001,1
ORB,-0.2793,0.73317,1
ORB,-0.24439,-0.58354,0
ORB,-0.24439,0.73815,0
ORB,-0.23441,0.8279299999999999,1
