,X,Y,CLUSTER
ORB,-0.78304,0.2793,0
ORB,-0.7530399999999999,0.021,1
ORB,-0.7581,-0.2394,1
ORB,-0.75312,0.20449,1
ORB,-0.72319,-0.28928000000000004,0
ORB,-0.69825,0.23441,1
ORB,-0.69825,0.2793,1
ORB,-0.69825,0.34913,0
ORB,-0.69825,0.42394,0
ORB,-0.67332,-0.054863,0
ORB,-0.67332,0.49875,1
ORB,-0.66833,-0.2793,1
ORB,-0.66833,0.24938,1
ORB,-0.6633399999999999,0.20948000000000006,1
ORB,-0.65835,-0.60349,1
ORB,-0.65835,-0.16958,1
ORB,-0.65835,0.399,0
ORB,-0.65337,-0.43392,1
ORB,-0.6483800000000001,-0.48878,1
ORB,-0.63342,0.36409,0
ORB,-0.62344,0.31421,1
ORB,-0.61347,0.44888,0
ORB,-0.5935199999999999,0.56858,0
ORB,-0.58853,0.49875,0
ORB,-0.57855,-0.49875,0
ORB,-0.57855,0.39401,0
ORB,-0.5635899999999999,-0.37406,1
ORB,-0.5635899999999999,0.63342,1
ORB,-0.5586,0.46883,1
ORB,-0.55362,0.52369,1
ORB,-0.5486300000000001,-0.58853,0
ORB,-0.5486300000000001,-0.5187,0
ORB,-0.52868,0.5586,1
ORB,-0.52369,0.6483800000000001,1
ORB,-0.50873,-0.66833,1
ORB,-0.50873,-0.6384,0
ORB,-0.50374,0.51372,0
ORB,-0.49377,-0.50873,0
ORB,-0.46883,0.67332,1
ORB,-0.46384,-0.63342,0
ORB,-0.45885,0.5985,0
ORB,-0.42893,0.60848,0
ORB,-0.42394,-0.55362,1
ORB,-0.41397,0.6783,0
ORB,-0.40898,0.7481300000000001,1
ORB,-0.40399,-0.65835,1
ORB,-0.399,0.67332,1
ORB,-0.399,0.77805,0
ORB,-0.36908,-0.72818,0
ORB,-0.36908,-0.5985,0
ORB,-0.36908,0.62344,0
ORB,-0.3591,-0.73815,1
ORB,-0.33416,0.61845,0
ORB,-0.30923,0.79302,0
ORB,-0.29925,-0.62843,1
ORB,-0.28928000000000004,0.6483800000000001,0
ORB,-0.2793,0.73317,0
ORB,-0.24439,-0.58354,1
ORB,-0.24439,0.73815,1
ORB,-0.23441,0.8279299999999999,0
PUPIL,-0.22444,0.13466,1
ORB,-0.21446,-0.70823,1
PUPIL,-0.20948000000000006,0.024938,0
PUPIL,-0.1995,-0.0099751,1
PUPIL,-0.17955,-0.084788,1
PUPIL,-0.17955,0.24439,1
ORB,-0.17955,0.7182,1
PUPIL,-0.16958,0.074813,0
PUPIL,-0.16958,0.11471,0
ORB,-0.16958,0.7630899999999999,0
ORB,-0.16459,0.78803,0
ORB,-0.14963,-0.70324,1
PUPIL,-0.14464000000000002,-0.0049875,1
PUPIL,-0.12968,-0.054863,0
PUPIL,-0.12469,0.054863,0
PUPIL,-0.12469,0.16459,1
PUPIL,-0.1197,0.23441,1
ORB,-0.1197,0.68329,1
PUPIL,-0.10973,0.14963,0
ORB,-0.099751,0.8528700000000001,0
ORB,-0.084788,-0.65337,0
ORB,-0.0798,0.76808,0
ORB,-0.074813,-0.72319,0
PUPIL,-0.069825,-0.0049875,1
PUPIL,-0.06483799999999999,0.26434,1
PUPIL,-0.05985,0.19451,1
PUPIL,-0.054863,0.094763,0
PUPIL,-0.049875,-0.06483799999999999,0
PUPIL,-0.044888,0.16459,0
ORB,-0.0399,0.75312,0
PUPIL,-0.034913,-0.094763,0
PUPIL,-0.029925,-0.01995,1
PUPIL,-0.024938,0.089776,0
ORB,-0.01995,-0.61347,1
ORB,-0.01995,0.8678299999999999,1
PUPIL,-0.0099751,0.12469,0
PUPIL,-0.0049875,0.044888,0
PUPIL,-0.0049875,0.17955,0
ORB,-1.1102e-16,-0.6384,1
ORB,0.0049875,-0.7481300000000001,1
PUPIL,0.0049875,0.25436,0
ORB,0.024938,-0.68329,0
