,X,Y,CLUSTER
ORB,-0.78304,0.2793,0.0
ORB,-0.7530399999999999,0.021,0.0
ORB,-0.7581,-0.2394,1.0
ORB,-0.75312,0.20449,0.0
ORB,-0.72319,-0.28928000000000004,1.0
ORB,-0.69825,0.23441,0.0
ORB,-0.69825,0.2793,0.0
ORB,-0.69825,0.34913,0.0
ORB,-0.69825,0.42394,0.0
ORB,-0.67332,-0.054863,1.0
ORB,-0.67332,0.49875,0.0
ORB,-0.66833,-0.2793,1.0
ORB,-0.66833,0.24938,0.0
ORB,-0.6633399999999999,0.20948000000000006,0.0
ORB,-0.65835,-0.60349,1.0
ORB,-0.65835,-0.16958,1.0
ORB,-0.65835,0.399,0.0
ORB,-0.65337,-0.43392,1.0
ORB,-0.6483800000000001,-0.48878,1.0
ORB,-0.63342,0.36409,0.0
ORB,-0.62344,0.31421,0.0
ORB,-0.61347,0.44888,0.0
ORB,-0.5935199999999999,0.56858,0.0
ORB,-0.58853,0.49875,0.0
ORB,-0.57855,-0.49875,1.0
ORB,-0.57855,0.39401,0.0
ORB,-0.5635899999999999,-0.37406,1.0
ORB,-0.5635899999999999,0.63342,0.0
ORB,-0.5586,0.46883,0.0
ORB,-0.55362,0.52369,0.0
ORB,-0.5486300000000001,-0.58853,1.0
ORB,-0.5486300000000001,-0.5187,1.0
ORB,-0.52868,0.5586,0.0
ORB,-0.52369,0.6483800000000001,0.0
ORB,-0.50873,-0.66833,1.0
ORB,-0.50873,-0.6384,1.0
ORB,-0.50374,0.51372,0.0
ORB,-0.49377,-0.50873,1.0
ORB,-0.46883,0.67332,0.0
ORB,-0.46384,-0.63342,1.0
ORB,-0.45885,0.5985,0.0
ORB,-0.42893,0.60848,0.0
ORB,-0.42394,-0.55362,1.0
ORB,-0.41397,0.6783,0.0
ORB,-0.40898,0.7481300000000001,0.0
ORB,-0.40399,-0.65835,1.0
ORB,-0.399,0.67332,0.0
ORB,-0.399,0.77805,0.0
ORB,-0.36908,-0.72818,1.0
ORB,-0.36908,-0.5985,1.0
ORB,-0.36908,0.62344,0.0
ORB,-0.3591,-0.73815,1.0
ORB,-0.33416,0.61845,0.0
ORB,-0.30923,0.79302,0.0
ORB,-0.29925,-0.62843,1.0
ORB,-0.28928000000000004,0.6483800000000001,0.0
ORB,-0.2793,0.73317,0.0
ORB,-0.24439,-0.58354,1.0
ORB,-0.24439,0.73815,0.0
ORB,-0.23441,0.8279299999999999,0.0
PUPIL,-0.22444,0.13466,0.0
ORB,-0.21446,-0.70823,1.0
PUPIL,-0.20948000000000006,0.024938,0.0
PUPIL,-0.1995,-0.0099751,0.0
PUPIL,-0.17955,-0.084788,1.0
PUPIL,-0.17955,0.24439,0.0
ORB,-0.17955,0.7182,0.0
PUPIL,-0.16958,0.074813,0.0
